Scenario,Controller,Avg Reward,Std Reward,Avg NH3 %,Avg Energy,pH Safe %,OFF %,LOW %,MED %,HIGH %
Normal,Rule-Based,1.8474,0.0517,3.049,0.300,100.0,0.0,100.0,0.0,0.0
Acid Crash,Rule-Based,0.6072,0.5573,0.157,0.502,39.2,0.0,39.2,55.9,4.9
Alkaline Spike,Rule-Based,-2.8076,0.2597,53.735,0.600,0.0,0.0,0.0,100.0,0.0
Cold Stress,Rule-Based,1.9145,0.0676,1.636,0.300,99.8,0.0,99.8,0.2,0.0
Heat Stress,Rule-Based,0.2748,0.5092,10.761,0.461,94.6,0.0,46.3,53.7,0.0
High NH3 Danger,Rule-Based,-2.0380,0.9513,40.554,0.583,11.7,0.0,5.7,94.3,0.0
Multi-Stress Grid,Rule-Based,0.7285,1.3773,8.665,0.404,71.2,0.0,66.2,33.3,0.5
Normal,FQL,1.7775,0.0392,3.559,0.344,100.0,0.0,85.2,14.8,0.0
Acid Crash,FQL,0.6720,0.5993,0.257,0.486,42.3,0.0,62.9,18.4,18.7
Alkaline Spike,FQL,-2.7230,0.5109,52.366,0.597,0.7,0.0,55.7,3.2,41.0
Cold Stress,FQL,1.8174,0.0516,1.809,0.386,99.7,0.0,80.7,12.3,6.9
Heat Stress,FQL,0.6509,0.4234,10.685,0.499,95.2,0.0,58.4,23.0,18.6
High NH3 Danger,FQL,-2.5189,0.7264,47.356,0.747,4.8,0.0,26.6,16.7,56.7
Multi-Stress Grid,FQL,0.8418,1.2275,10.352,0.398,73.3,0.0,75.8,17.6,6.5
Normal,DQN,1.8474,0.0517,3.049,0.300,100.0,0.0,100.0,0.0,0.0
Acid Crash,DQN,0.1385,0.8442,0.148,0.442,27.5,0.0,52.8,47.2,0.0
Alkaline Spike,DQN,-2.2030,0.3072,44.096,0.300,0.0,0.0,100.0,0.0,0.0
Cold Stress,DQN,1.8370,0.0596,1.838,0.368,99.8,0.0,77.4,22.6,0.0
Heat Stress,DQN,-0.5319,0.2527,7.761,0.300,99.8,0.0,100.0,0.0,0.0
High NH3 Danger,DQN,-1.4407,0.8156,30.518,0.300,33.1,0.0,100.0,0.0,0.0
Multi-Stress Grid,DQN,0.9820,0.9856,6.325,0.301,83.6,0.0,99.7,0.3,0.0
