[2026-05-29 01:45:01][INFO] QoS CSV: /home/ubuntu/thesis/results/network/Pico_1_Main/qos_log_20260529_014443.csv
[2026-05-29 01:45:17][INFO] [Pico_1_Main][RB][Step:   10] pH:7.496 T:25.0°C NH3:1.75% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 2.1ms
[2026-05-29 01:45:37][INFO] [Pico_1_Main][RB][Step:   20] pH:7.496 T:25.0°C NH3:1.75% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 1.9ms
[2026-05-29 01:45:57][INFO] [Pico_1_Main][RB][Step:   30] pH:7.547 T:25.0°C NH3:1.96% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.6ms
[2026-05-29 01:46:17][INFO] [Pico_1_Main][RB][Step:   40] pH:7.547 T:25.0°C NH3:1.96% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.7ms
[2026-05-29 01:46:37][INFO] [Pico_1_Main][RB][Step:   50] pH:7.502 T:25.0°C NH3:1.77% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.1ms
[2026-05-29 01:46:57][INFO] [Pico_1_Main][RB][Step:   60] pH:7.541 T:25.0°C NH3:1.93% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:47:17][INFO] [Pico_1_Main][RB][Step:   70] pH:7.541 T:25.0°C NH3:1.93% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 3.9ms
[2026-05-29 01:47:37][INFO] [Pico_1_Main][RB][Step:   80] pH:7.496 T:25.0°C NH3:1.75% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 2.8ms
[2026-05-29 01:47:58][INFO] [Pico_1_Main][RB][Step:   90] pH:7.547 T:25.0°C NH3:1.96% | Risk:CAUTION | Acc:0.00% | QoS:0.000Mbps 2.8ms
[2026-05-29 01:48:18][INFO] [Pico_1_Main][RB][Step:  100] pH:7.547 T:25.0°C NH3:1.96% | Risk:CAUTION | Acc:74.00% | QoS:0.000Mbps 4.7ms
[2026-05-29 01:48:38][INFO] [Pico_1_Main][RB][Step:  110] pH:7.552 T:25.0°C NH3:1.98% | Risk:CAUTION | Acc:74.00% | QoS:0.000Mbps 1.1ms
[2026-05-29 01:48:58][INFO] [Pico_1_Main][RB][Step:  120] pH:7.552 T:25.0°C NH3:1.98% | Risk:CAUTION | Acc:74.00% | QoS:0.000Mbps 5.1ms
[2026-05-29 01:49:18][INFO] [Pico_1_Main][RB][Step:  130] pH:7.552 T:25.0°C NH3:1.98% | Risk:CAUTION | Acc:74.00% | QoS:0.000Mbps 4.3ms
[2026-05-29 01:49:38][INFO] [Pico_1_Main][RB][Step:  140] pH:7.530 T:25.0°C NH3:1.89% | Risk:CAUTION | Acc:74.00% | QoS:0.000Mbps 4.5ms
