timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon
2026-05-25 11:43:37,1,7.63,0.0,0.35,RB,0,0,0,-1,1,1,-1,1,0.2999
2026-05-25 11:43:39,2,7.586,0.0,0.3164,RB,0,0,0,-1,1,1,-1,2,0.2997
2026-05-25 11:43:41,3,7.614,0.0,0.3374,RB,0,0,0,-1,1,1,-1,3,0.2996
2026-05-25 11:43:43,4,7.664,0.0,0.3784,RB,0,0,0,-1,1,1,-1,4,0.2994
2026-05-25 11:43:45,5,7.658,0.0,0.3732,RB,0,0,0,-1,1,1,-1,5,0.2993
2026-05-25 11:43:47,6,7.642,0.0,0.3598,RB,0,0,0,-1,1,1,-1,6,0.2991
2026-05-25 11:43:49,7,7.591,0.0,0.32,RB,0,0,3,-1,1,0,-1,7,0.299
2026-05-25 11:43:51,8,7.597,0.0,0.3245,RB,0,0,0,-1,1,1,-1,8,0.2988
2026-05-25 11:43:53,9,7.636,0.0,0.3549,RB,0,0,2,-1,1,0,-1,9,0.2987
2026-05-25 11:43:55,10,7.653,0.0,0.369,RB,0,0,0,-1,1,1,-1,10,0.2985
2026-05-25 11:43:57,11,7.647,0.0,0.3639,RB,0,0,0,-1,1,1,-1,11,0.2984
2026-05-25 11:43:59,12,7.614,0.0,0.3374,RB,0,0,0,-1,1,1,-1,12,0.2982
2026-05-25 11:44:01,13,7.586,0.0,0.3164,RB,0,0,3,-1,1,0,-1,13,0.2981
2026-05-25 11:44:03,14,7.597,0.0,0.3245,RB,0,0,0,-1,1,1,-1,14,0.2979
2026-05-25 11:44:05,15,7.642,0.0,0.3598,RB,0,0,0,-1,1,1,-1,15,0.2978
2026-05-25 11:44:07,16,7.664,0.0,0.3784,RB,0,0,0,-1,1,1,-1,16,0.2976
2026-05-25 11:44:09,17,7.658,0.0,0.3732,RB,0,0,1,-1,1,0,-1,17,0.2975
2026-05-25 11:44:11,18,7.647,0.0,0.3639,RB,0,0,0,-1,1,1,-1,18,0.2973
2026-05-25 11:44:13,19,7.602,0.0,0.3282,RB,0,0,3,-1,1,0,-1,19,0.2972
2026-05-25 11:44:15,20,7.591,0.0,0.32,RB,0,0,0,-1,1,1,-1,20,0.297
2026-05-25 11:44:17,21,7.636,0.0,0.3549,RB,0,0,2,-1,1,0,-1,21,0.2969
2026-05-25 11:44:19,22,7.664,0.0,0.3784,RB,0,0,0,-1,1,1,-1,22,0.2967
2026-05-25 11:44:21,23,7.642,0.0,0.3598,RB,0,0,0,-1,1,1,-1,23,0.2966
2026-05-25 11:44:23,24,7.602,0.0,0.3282,RB,0,0,0,-1,1,1,-1,24,0.2964
2026-05-25 11:44:25,25,7.619,0.0,0.3413,RB,0,0,0,-1,1,1,-1,25,0.2963
2026-05-25 11:44:27,26,7.647,0.0,0.3639,RB,0,0,0,-1,1,1,-1,26,0.2961
2026-05-25 11:44:29,27,7.664,0.0,0.3784,RB,0,0,0,-1,1,1,-1,27,0.296
2026-05-25 11:44:31,28,7.653,0.0,0.369,RB,0,0,2,-1,1,0,-1,28,0.2958
2026-05-25 11:44:33,29,7.625,0.0,0.346,RB,0,0,0,-1,1,1,-1,29,0.2957
2026-05-25 11:44:35,30,7.602,0.0,0.3282,RB,0,0,3,-1,1,0,-1,30,0.2955
2026-05-25 11:44:37,31,7.625,0.0,0.346,RB,0,0,0,-1,1,1,-1,31,0.2954
2026-05-25 11:44:39,32,7.658,0.0,0.3732,RB,0,0,0,-1,1,1,-1,32,0.2952
2026-05-25 11:44:41,33,7.653,0.0,0.369,RB,0,0,2,-1,1,0,-1,33,0.2951
2026-05-25 11:44:43,34,7.636,0.0,0.3549,RB,0,0,0,-1,1,1,-1,34,0.2949
2026-05-25 11:44:45,35,7.586,0.0,0.3164,RB,0,0,0,-1,1,1,-1,35,0.2948
2026-05-25 11:44:47,36,7.591,0.0,0.32,RB,0,0,0,-1,1,1,-1,36,0.2946
2026-05-25 11:44:49,37,7.625,0.0,0.346,RB,0,0,0,-1,1,1,-1,37,0.2945
2026-05-25 11:44:51,38,7.664,0.0,0.3784,RB,0,0,0,-1,1,1,-1,38,0.2944
2026-05-25 11:44:53,39,7.653,0.0,0.369,RB,0,0,0,-1,1,1,-1,39,0.2942
2026-05-25 11:44:55,40,7.619,0.0,0.3413,RB,0,0,0,-1,1,1,-1,40,0.2941
2026-05-25 11:44:57,41,7.591,0.0,0.32,RB,0,0,0,-1,1,1,-1,41,0.2939
2026-05-25 11:44:59,42,7.597,0.0,0.3245,RB,0,0,2,-1,1,0,-1,42,0.2938
2026-05-25 11:45:01,43,7.625,0.0,0.346,RB,0,0,0,-1,1,1,-1,43,0.2936
2026-05-25 11:45:03,44,7.653,0.0,0.369,RB,0,0,0,-1,1,1,-1,44,0.2935
2026-05-25 11:45:05,45,7.647,0.0,0.3639,RB,0,0,0,-1,1,1,-1,45,0.2933
2026-05-25 11:45:07,46,7.636,0.0,0.3549,RB,0,0,0,-1,1,1,-1,46,0.2932
2026-05-25 11:45:09,47,7.575,0.0,0.3085,RB,0,0,0,-1,1,1,-1,47,0.293
2026-05-25 11:45:11,48,7.591,0.0,0.32,RB,0,0,0,-1,1,1,-1,48,0.2929
2026-05-25 11:45:13,49,7.619,0.0,0.3413,RB,0,0,0,-1,1,1,-1,49,0.2927
2026-05-25 11:45:15,50,7.636,0.0,0.3549,RB,0,0,0,-1,1,1,-1,50,0.2926
2026-05-25 11:45:17,51,7.625,0.0,0.346,RB,0,0,0,-1,1,1,-1,51,0.2924
2026-05-25 11:45:19,52,7.619,0.0,0.3413,RB,0,0,0,-1,1,1,-1,52,0.2923
2026-05-25 11:45:21,53,7.602,0.0,0.3282,RB,0,0,0,-1,1,1,-1,53,0.2922
2026-05-25 11:45:23,54,7.586,0.0,0.3164,RB,0,0,0,-1,1,1,-1,54,0.292
2026-05-25 11:45:25,55,7.586,0.0,0.3164,RB,0,0,0,-1,1,1,-1,55,0.2919
