timestamp,real_step,pH,T_C,NH3_pct,mode,actual_risk,rb_risk,fql_risk,dqn_risk,rb_correct,fql_correct,dqn_correct,fql_steps,epsilon,bandwidth_mbps,latency_ms
2026-05-26 05:06:26,1,7.636,25.0,2.3939,RB,1,1,1,-1,1,1,-1,1,0.2999,0.0,0.0
2026-05-26 05:06:28,2,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,2,0.2997,0.0,0.0
2026-05-26 05:06:30,3,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,3,0.2996,0.0,0.0
2026-05-26 05:06:32,4,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,4,0.2994,0.0,0.0
2026-05-26 05:06:34,5,7.675,25.0,2.6129,RB,1,1,1,-1,1,1,-1,5,0.2993,0.0,0.0
2026-05-26 05:06:36,6,7.653,25.0,2.4871,RB,1,1,2,-1,1,0,-1,6,0.2991,0.0,0.0
2026-05-26 05:06:38,7,7.686,25.0,2.6781,RB,1,1,0,-1,1,0,-1,7,0.299,0.0,0.0
2026-05-26 05:06:40,8,7.647,25.0,2.4538,RB,1,1,1,-1,1,1,-1,8,0.2988,0.0,0.0
2026-05-26 05:06:42,9,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,9,0.2987,0.0,0.0
2026-05-26 05:06:44,10,7.625,25.0,2.3354,RB,1,1,1,-1,1,1,-1,10,0.2985,0.0,0.0
2026-05-26 05:06:46,11,7.686,25.0,2.6781,RB,1,1,2,-1,1,0,-1,11,0.2984,0.0,0.0
2026-05-26 05:06:48,12,7.658,25.0,2.5151,RB,1,1,1,-1,1,1,-1,12,0.2982,0.0,0.0
2026-05-26 05:06:50,13,7.636,25.0,2.3939,RB,1,1,1,-1,1,1,-1,13,0.2981,0.0,0.0
2026-05-26 05:06:52,14,7.686,25.0,2.6781,RB,1,1,1,-1,1,1,-1,14,0.2979,0.0,0.0
2026-05-26 05:06:54,15,7.636,25.0,2.3939,RB,1,1,1,-1,1,1,-1,15,0.2978,0.0,0.0
2026-05-26 05:06:56,16,7.664,25.0,2.5492,RB,1,1,1,-1,1,1,-1,16,0.2976,0.0,0.0
2026-05-26 05:06:58,17,7.686,25.0,2.6781,RB,1,1,2,-1,1,0,-1,17,0.2975,0.0,0.0
2026-05-26 05:07:00,18,7.614,25.0,2.2783,RB,1,1,2,-1,1,0,-1,18,0.2973,0.0,0.0
