[2026-05-26 22:32:02] [INFO] ======================================================================
[2026-05-26 22:32:02] [INFO] N3IWF Client Starting...
[2026-05-26 22:32:02] [INFO] ======================================================================
[2026-05-26 22:32:02] [INFO] Client IP: 10.42.0.1
[2026-05-26 22:32:02] [INFO] Callbox IP: 10.42.0.1
[2026-05-26 22:32:02] [INFO] Tunnel IP (N3IWF): 192.168.100.2
[2026-05-26 22:32:02] [INFO] Tunnel IP (Callbox): 192.168.100.1
[2026-05-26 22:32:02] [INFO] ======================================================================
[2026-05-26 22:32:02] [INFO] Setting up N3IWF IPsec client...
[2026-05-26 22:32:02] [INFO] Waiting for callbox config...
[2026-05-26 22:32:02] [INFO] Found callbox config, will merge
[2026-05-26 22:32:03] [INFO] IPsec merged config installed successfully
[2026-05-26 22:32:03] [INFO] Config includes both callbox and N3IWF connections
[2026-05-26 22:32:03] [INFO] Starting IPsec service...
[2026-05-26 22:32:05] [INFO] IPsec service started
[2026-05-26 22:32:08] [INFO] IPsec tunnel ESTABLISHED!
[2026-05-26 22:32:08] [INFO] Monitoring IPsec tunnel...
[2026-05-26 22:32:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:32:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:32:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:32:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:32:28] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:32:28] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:32:38] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:32:38] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:32:48] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:32:48] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:32:58] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:32:58] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:33:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:33:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:33:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:33:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:33:28] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:33:28] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:33:38] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:33:38] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:33:48] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:33:48] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:33:58] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:33:58] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:34:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:34:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:34:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:34:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:34:28] [INFO] ✅ Tunnel ESTABLISHED
