timestamp,latency_ms,jitter_ms,bandwidth_mbps
2026-05-29 01:42:41,9.47,0.0,2.5e-05
2026-05-29 01:42:44,11.39,0.0,6.3e-05
2026-05-29 01:42:47,11.55,2.075,7.5e-05
2026-05-29 01:42:50,7.25,3.636,6.2e-05
2026-05-29 01:42:53,9.81,5.24,7.6e-05
2026-05-29 01:42:56,8.24,5.894,8e-05
2026-05-29 01:42:59,8.92,5.576,0.000101
2026-05-29 01:43:02,9.55,5.768,7.3e-05
2026-05-29 01:43:05,8.48,6.321,0.000108
2026-05-29 01:43:08,6.09,6.894,0.000103
2026-05-29 01:43:11,8.64,7.169,0.00011
2026-05-29 01:43:14,10.43,7.381,0.000106
2026-05-29 01:43:17,9.74,6.766,0.000101
2026-05-29 01:43:20,12.83,7.132,0.000108
2026-05-29 01:43:23,8.7,6.826,0.000105
2026-05-29 01:43:26,9.63,6.698,9.4e-05
2026-05-29 01:43:29,6.94,6.163,9.6e-05
2026-05-29 01:43:32,8.27,6.247,8.5e-05
2026-05-29 01:43:35,8.0,5.787,9.4e-05
2026-05-29 01:43:39,9.68,5.643,8e-05
2026-05-29 01:43:42,8.43,6.14,8.2e-05
2026-05-29 01:43:45,7.82,6.143,7.9e-05
2026-05-29 01:43:48,6.36,5.736,9.5e-05
2026-05-29 01:43:51,6.13,5.62,0.000108
2026-05-29 01:43:54,10.74,5.729,0.000132
2026-05-29 01:43:57,8.94,5.953,0.000128
