timestamp,latency_ms,jitter_ms,bandwidth_mbps
2026-05-29 01:44:46,4.46,0.155,0.0
2026-05-29 01:44:49,4.79,0.0,3.3e-05
2026-05-29 01:44:52,5.37,0.083,6.3e-05
2026-05-29 01:44:55,2.15,0.472,9.9e-05
2026-05-29 01:44:58,4.33,0.939,0.000115
2026-05-29 01:45:01,3.68,1.186,0.000117
2026-05-29 01:45:04,3.17,1.005,0.0001
2026-05-29 01:45:07,6.69,0.649,0.000104
2026-05-29 01:45:10,5.92,0.955,0.000117
2026-05-29 01:45:13,3.83,0.538,0.000129
2026-05-29 01:45:16,2.63,0.754,0.000105
2026-05-29 01:45:19,0.0,0.665,0.000107
2026-05-29 01:45:22,1.85,0.844,0.000102
2026-05-29 01:45:25,4.09,0.23,9.4e-05
2026-05-29 01:45:28,0.12,0.5,9.1e-05
2026-05-29 01:45:31,0.0,0.217,0.000108
2026-05-29 01:45:34,0.0,0.0,9.5e-05
2026-05-29 01:45:38,0.0,0.577,9.9e-05
2026-05-29 01:45:41,3.4,0.526,0.00011
2026-05-29 01:45:44,4.81,0.394,0.000106
2026-05-29 01:45:47,1.81,0.123,0.000103
2026-05-29 01:45:50,5.38,0.031,8.6e-05
2026-05-29 01:45:53,4.57,0.634,8.1e-05
2026-05-29 01:45:56,0.75,0.338,0.0001
2026-05-29 01:45:59,2.0,0.074,0.000106
2026-05-29 01:46:02,2.14,0.161,9.9e-05
2026-05-29 01:46:05,2.6,0.393,0.000103
2026-05-29 01:46:08,4.1,0.704,0.000108
2026-05-29 01:46:11,2.71,0.758,8.8e-05
2026-05-29 01:46:14,1.59,0.0,8.5e-05
2026-05-29 01:46:17,2.62,0.0,0.000105
2026-05-29 01:46:20,7.2,0.52,9.3e-05
2026-05-29 01:46:23,8.48,0.295,9.6e-05
2026-05-29 01:46:26,6.6,0.359,9.8e-05
2026-05-29 01:46:29,6.86,0.314,9.6e-05
2026-05-29 01:46:32,4.13,0.602,9.9e-05
2026-05-29 01:46:35,0.96,0.202,0.000121
2026-05-29 01:46:38,4.15,0.221,0.000102
2026-05-29 01:46:41,2.7,0.198,9.4e-05
2026-05-29 01:46:44,0.0,0.0,9.2e-05
2026-05-29 01:46:47,2.13,0.0,7.6e-05
2026-05-29 01:46:50,2.11,0.0,8.2e-05
2026-05-29 01:46:53,1.98,0.288,7.6e-05
2026-05-29 01:46:57,1.79,0.379,8.6e-05
2026-05-29 01:47:00,2.09,0.691,9.6e-05
2026-05-29 01:47:03,2.11,0.392,8.4e-05
2026-05-29 01:47:06,2.39,0.042,9.9e-05
2026-05-29 01:47:09,4.02,0.152,0.000107
2026-05-29 01:47:12,3.82,0.729,8.6e-05
2026-05-29 01:47:15,5.74,0.736,8.9e-05
2026-05-29 01:47:18,4.8,0.317,0.000104
2026-05-29 01:47:21,5.78,1.138,9.7e-05
2026-05-29 01:47:24,1.95,1.0,9.5e-05
2026-05-29 01:47:27,4.43,1.053,0.000104
2026-05-29 01:47:30,3.73,0.435,9.5e-05
2026-05-29 01:47:33,1.26,0.581,8.3e-05
2026-05-29 01:47:36,3.27,0.324,9.3e-05
2026-05-29 01:47:39,2.33,0.112,9.7e-05
2026-05-29 01:47:42,1.5,0.79,9.8e-05
2026-05-29 01:47:45,0.0,0.906,8.8e-05
2026-05-29 01:47:48,2.91,0.771,0.00011
2026-05-29 01:47:51,1.45,0.305,0.000111
2026-05-29 01:47:54,5.41,0.094,9.1e-05
2026-05-29 01:47:57,3.71,0.293,9.3e-05
2026-05-29 01:48:00,6.79,0.588,0.000105
2026-05-29 01:48:03,4.99,0.468,0.000104
2026-05-29 01:48:06,7.98,0.037,0.000125
2026-05-29 01:48:09,6.63,0.072,0.00012
2026-05-29 01:48:13,0.91,0.362,0.000112
2026-05-29 01:48:16,1.71,0.943,0.000102
2026-05-29 01:48:19,3.03,0.265,9.2e-05
2026-05-29 01:48:22,4.16,0.0,8.8e-05
2026-05-29 01:48:25,2.27,1.11,9e-05
2026-05-29 01:48:28,3.61,0.43,8.3e-05
2026-05-29 01:48:31,6.94,0.523,0.00011
2026-05-29 01:48:34,8.23,0.582,0.000117
2026-05-29 01:48:37,5.89,0.511,0.000114
2026-05-29 01:48:40,6.1,0.395,0.000115
2026-05-29 01:48:43,1.79,0.88,0.00012
2026-05-29 01:48:46,2.61,0.852,0.000124
2026-05-29 01:48:49,4.71,0.317,0.000124
2026-05-29 01:48:52,5.33,0.347,0.000117
2026-05-29 01:48:55,3.5,0.148,0.000115
2026-05-29 01:48:58,5.27,0.0,0.000107
2026-05-29 01:49:01,5.52,0.443,9.7e-05
